GW1.24H_LASKIN_T,,Sub,station,GW1,24H,calculator,time,program,,,,,,,,,
GW1.HA13_KUIVATUS_KH_A,,Sub,station,GW1,apartment,number,13,drying,bathroom,control,point,,,,,,
GW1.HA13_LAMM_ASETUS_AH1_FM,,Sub,station,GW1,apartment,number,13,heating,set,point,room,1,fictional,point,measurement,,
GW1.HA13_LAMM_ASETUS_KH_FM,,Sub,station,GW1,apartment,number,13,heating,set,point,bathroom,fictional,point,measurement,,,
GW1.HA13_ME16_KH_ARH,,Sub,station,GW1,apartment,number,13,electronic,humidity,sensor,16,bathroom,low,limit,alarm,,
GW1.HA13_ME16_KH_M,,Sub,station,GW1,apartment,number,13,electronic,humidity,sensor,16,bathroom,measurement,,,,
GW1.HA13_ME16_KH_YRH,,Sub,station,GW1,apartment,number,13,electronic,humidity,sensor,16,bathroom,high,limit,alarm,,
GW1.HA13_MV10_AH1_A,,Sub,station,GW1,apartment,number,13,magnetic,valve,10,room,1,control,point,,,
GW1.HA13_MV10_KH_A,,Sub,station,GW1,apartment,number,13,magnetic,valve,10,bathroom,control,point,,,,
GW1.HA13_OE_FI,,Sub,station,GW1,apartment,number,13,OE,FI,,,,,,,,
GW1.HA13_QE16_AH1_ARH,,Sub,station,GW1,apartment,number,13,CO2,sensor,16,room,1,low,limit,alarm,,
GW1.HA13_QE16_AH1_M,,Sub,station,GW1,apartment,number,13,CO2,sensor,16,room,1,measurement,,,,
GW1.HA13_QE16_AH1_YRH,,Sub,station,GW1,apartment,number,13,CO2,sensor,16,room,1,high,limit,alarm,,
GW1.HA13_QE_TEHOSTUS_A,,Sub,station,GW1,apartment,number,13,CO2,sensor,boost,control,point,,,,,
GW1.HA13_SM_K,,Sub,station,GW1,apartment,number,13,SM,time,,,,,,,,
GW1.HA13_SM_KAM,,Sub,station,GW1,apartment,number,13,SM,KAM,,,,,,,,
GW1.HA13_TC16_MODULIVIKA_H,,Sub,station,GW1,apartment,number,13,temperature,controller,16,module,fault,alarm,point,,,
GW1.HA13_TE16_AH1_ARH,,Sub,station,GW1,apartment,number,13,temperature,measurement,16,room,1,low,limit,alarm,,
GW1.HA13_TE16_AH1_M,,Sub,station,GW1,apartment,number,13,temperature,measurement,16,room,1,measurement,,,,
GW1.HA13_TE16_AH1_YRH,,Sub,station,GW1,apartment,number,13,temperature,measurement,16,room,1,high,limit,alarm,,
GW1.HA13_TE16_KH_ARH,,Sub,station,GW1,apartment,number,13,temperature,measurement,16,bathroom,low,limit,alarm,,,
GW1.HA13_TE16_KH_M,,Sub,station,GW1,apartment,number,13,temperature,measurement,16,bathroom,measurement,,,,,
GW1.HA13_TE16_KH_YRH,,Sub,station,GW1,apartment,number,13,temperature,measurement,16,bathroom,high,limit,alarm,,,
GW1.HA13_TEHOSTAJA_FI,,Sub,station,GW1,apartment,number,13,booster,FI,,,,,,,,
GW1.HA13_TEHOSTUS_FI,,Sub,station,GW1,apartment,number,13,boost,FI,,,,,,,,
GW1.HA13_TH16_AH1_M,,Sub,station,GW1,apartment,number,13,offset,from,the,setpoint,value,16,room,1,measurement,
GW1.HA13_TH16_KH_M,,Sub,station,GW1,apartment,number,13,offset,from,the,setpoint,value,16,bathroom,measurement,,
GW1.HA13_VM_EP_KV_K,,Sub,station,GW1,apartment,number,13,water,meter,EP,cold,water,time,,,,
GW1.HA13_VM_EP_LV_K,,Sub,station,GW1,apartment,number,13,water,meter,EP,heat,exchanger,time,,,,
GW1.HA13_VM_KV_K,,Sub,station,GW1,apartment,number,13,water,meter,cold,water,time,,,,,
GW1.HA13_VM_KV_KAM,,Sub,station,GW1,apartment,number,13,water,meter,cold,water,KAM,,,,,
GW1.HA13_VM_LV_K,,Sub,station,GW1,apartment,number,13,water,meter,heat,exchanger,time,,,,,
